"NCED Cart Position Log for SICK Scan - Text Output File (Comma delineated)"
Text File Version,2.6,

"Flume/Project Name","Riverine Basin"
"RunName","D:\Wood Floodplain 2024\20240808_exp1_cartdata\20240808_exp1_wood\20240808_exp1_wood"
"Pass Finished Date/Time"," 08-08-2024"," 13:04:00"
"RunTime Finished"," 0:00:00"
"RunSeconds Finished",0
"ContinuousSec Finished",15247.271
"Script Name","C:\NCED\SequenceScripts\Riverine Basin\Riverine Basin to 9759 Sick Scan [SICK_AIR] 1mm Xgrid [Riverine Basin].SCP"
"Script Scan Type","SICK Laser (in air)"
"Scan Number",3
"Z Count Direction","Positive Up"
"Home Encoder Offsets",57,486,1578
"Encoder CntPerMM",96,32,393.7
"Channel Settings","X Offset","Y Offset","Z Offset","K2 Coef","K1 Coef","K0 Coef"
"  Ch0 NotUsed",-979.6,-2465,-1149,"N/A for Sonar"
"  Ch1 Massa",-1079.6,-2465,-491.799987792969,0,912,109
"  Ch2 NotUsed",-1102.1,-2510,0,0,50,500
"  Ch3 NotUsed",-1329.6,-2605,-384,0,1,0
"Flume X Rail Slope(%)",0,,,,"Note: X and Zs are reported relative rails.  If rail slope is not zero, X and Z may need to be post-processed to put in desired coordinate frame."
"Keyence Angle/PivotOffset",0,0,,,Keyence not tiltable
"DAQ Speeds XYZ (mm/sec)",76.5,250,100
"Accel Rates XYZ (mm/sec/sec)",250,250,100

"SICK Scan Parameters:"
"SICK_PRMS_VERSION","1.2"
"CameraFacing",0,"UpStream"
"RiverRightZero",#FALSE#
"LUTname","C:\NCED\Speed and Parameter Files\SICK Settings\LUTs\DeltaBasin (InAir)_scl 001102_yoff-0556.9_zoff 0000.0_LUT.RAW"

"XY positions are of center line of laser sheet."
"Offsets to Sonar Transducer are (XYZ)",-350,-140,-765
"ProfilesPerBuff",32
"TotalBuffers",305
"EncCyclesPerMM","24"
"mmPerProfile",1
"FirstProfileMM",0
"LastProfileMM",9759
"ScnCenterLine",800
"SwathWidthMM",800
"SwathsInScan",5

"SICK Exposure Settings:"
"ExpoTime",8000
"CycleTime_uS",0
"Gain",4
"Threshold",50
"LaserPower","5"

"Column Headers",1,"Number of header rows before data begins"
"Entry #","Scan_uS","CamX","CamY","CamZ","SNR SedZ","CH1 Return","CH2 Return","CH3 Return"
223,2968870,222.01,800,1179.99,0,372.7,1014,1179.5
224,2982536,223.07,800,1179.99,0,373,1014,1179.5
225,2995238,224.04,800,1179.99,0,373,1014,1179.5
226,3008910,225.08,800,1179.99,0,373,1014,1179.5
227,3021600,226.05,800,1179.99,0,373,1014,1179.5
228,3034301,227.01,800,1179.99,0,373,1014,1179.5
229,3048008,228.07,800,1179.99,0,373,1014,1179.5
230,3060664,229.04,800,1179.99,0,373,1014,1179.5
231,3073371,230,800,1179.99,0,373,1014,1179.5
232,3104954,232.43,800,1179.99,0,373.5,1014,1179.5
233,3105169,232.45,800,1179.99,0,373.5,1014,1179.5
234,3114428,233.14,800,1179.99,0,373.5,1014,1179.5
235,3126108,234.04,800,1179.99,0,373.5,1014,1179.5
236,3138806,235.01,800,1179.99,0,373.5,1014,1179.5
237,3152471,236.06,800,1179.99,0,373.5,1014,1179.5
238,3165192,237.03,800,1179.99,0,373.5,1014,1179.5
239,3178056,238.01,800,1179.99,0,373.5,1014,1179.5
240,3191535,239.05,800,1179.99,0,374.4,1014,1179.5
241,3204225,240.03,800,1179.99,0,374.4,1014,1179.5
242,3217898,241.07,800,1179.99,0,374.4,1014,1179.5
243,3230599,242.05,800,1179.99,0,374.4,1014,1179.5
244,3243289,243.01,800,1179.99,0,374.4,1014,1179.5
245,3256961,244.06,800,1179.99,0,374.4,1014,1179.5
246,3269666,245.04,800,1179.99,0,374.4,1014,1179.5
247,3282430,246,800,1179.99,0,359.9,1014,1179.5
248,3296025,247.05,800,1179.99,0,359.9,1014,1179.5
249,3308725,248.01,800,1179.99,0,359.9,1014,1179.5
250,3322456,249.07,800,1179.99,0,359.9,1014,1179.5
251,3335090,250.03,800,1179.99,0,359.9,1014,1179.5
252,3348762,251.07,800,1179.99,0,359.9,1014,1179.5
253,3361482,252.05,800,1179.99,0,359.9,1014,1179.5
254,3396571,254.72,800,1179.99,0,359.9,1014,1179.5
255,3396788,254.74,800,1179.99,0,359.9,1014,1179.5
256,3400298,255,800,1179.99,0,359.9,1014,1179.5
257,3414212,256.08,800,1179.99,0,372,1014,1179.5
258,3433146,257.54,800,1179.99,0,372,1014,1179.5
259,3439585,258.03,800,1179.99,0,372,1014,1179.5
260,3453258,259.07,800,1179.99,0,372,1014,1179.5
261,3465959,260.05,800,1179.99,0,372,1014,1179.5
262,3478652,261,800,1179.99,0,372,1014,1179.5
263,3492322,262.06,800,1179.99,0,372,1014,1179.5
264,3505049,263.03,800,1179.99,0,372,1014,1179.5
265,3517714,264,800,1179.99,0,374.1,1014,1179.5
266,3532431,265.12,800,1179.99,0,374.1,1014,1179.5
267,3544090,266.01,800,1179.99,0,374.1,1014,1179.5
268,3557761,267.07,800,1179.99,0,374.1,1014,1179.5
269,3570451,268.04,800,1179.99,0,374.1,1014,1179.5
270,3583150,269,800,1179.99,0,374.1,1014,1179.5
271,3596822,270.06,800,1179.99,0,374.1,1014,1179.5
272,3610542,271.11,800,1179.99,0,374.1,1014,1179.5
273,3623186,272.08,800,1179.99,0,374.3,1014,1179.5
274,3635887,273.04,800,1179.99,0,374.3,1014,1179.5
275,3648577,274,800,1179.99,0,374.3,1014,1179.5
276,3662264,275.06,800,1179.99,0,374.3,1014,1179.5
277,3693745,277.46,800,1179.99,0,374.3,1014,1179.5
278,3693958,277.48,800,1179.99,0,374.3,1014,1179.5
279,3701317,278.04,800,1179.99,0,374.3,1014,1179.5
280,3714038,279,800,1179.99,0,375.2,1014,1179.5
281,3727720,280.06,800,1179.99,0,375.2,1014,1179.5
282,3740378,281.01,800,1179.99,0,375.2,1014,1179.5
283,3754050,282.07,800,1179.99,0,375.2,1014,1179.5
284,3766750,283.05,800,1179.99,0,375.2,1014,1179.5
285,3779443,284.03,800,1179.99,0,375.2,1014,1179.5
286,3793114,285.07,800,1179.99,0,375.2,1014,1179.5
287,3805815,286.04,800,1179.99,0,375.2,1014,1179.5
288,3818506,287,800,1179.99,0,375,1014,1179.5
289,3832179,288.06,800,1179.99,0,375,1014,1179.5
290,3844915,289.04,800,1179.99,0,375,1014,1179.5
291,3857574,290,800,1179.99,0,375,1014,1179.5
292,3871243,291.05,800,1179.99,0,375,1014,1179.5
293,3883943,292.01,800,1179.99,0,375,1014,1179.5
294,3897617,293.07,800,1179.99,0,375,1014,1179.5
295,3910307,294.04,800,1179.99,0,375,1014,1179.5
296,3923002,295,800,1179.99,0,375.6,1014,1179.5
297,3937103,296.09,800,1179.99,0,375.6,1014,1179.5
298,3950044,297.08,800,1179.99,0,375.6,1014,1179.5
299,3963070,298.07,800,1179.99,0,375.6,1014,1179.5
300,3996455,300.62,800,1179.99,0,375.6,1014,1179.5
301,3996670,300.64,800,1179.99,0,375.6,1014,1179.5
302,4002108,301.05,800,1179.99,0,375.6,1014,1179.5
303,4015779,302.1,800,1179.99,0,375.6,1014,1179.5
304,4028475,303.07,800,1179.99,0,375.3,1014,1179.5
305,4041178,304.04,800,1179.99,0,375.3,1014,1179.5
306,4053868,305,800,1179.99,0,375.3,1014,1179.5
307,4067571,306.06,800,1179.99,0,375.3,1014,1179.5
308,4080240,307.03,800,1179.99,0,375.3,1014,1179.5
309,4092932,308,800,1179.99,0,375.3,1014,1179.5
310,4106603,309.05,800,1179.99,0,375.3,1014,1179.5
311,4119305,310.01,800,1179.99,0,375.2,1014,1179.5
312,4132976,311.06,800,1179.99,0,375.2,1014,1179.5
313,4145669,312.03,800,1179.99,0,375.2,1014,1179.5
314,4158368,313,800,1179.99,0,375.2,1014,1179.5
315,4172041,314.06,800,1179.99,0,375.2,1014,1179.5
316,4184764,315.03,800,1179.99,0,375.2,1014,1179.5
317,4198404,316.07,800,1179.99,0,375.2,1014,1179.5
318,4211109,317.05,800,1179.99,0,375.2,1014,1179.5
319,4223795,318.01,800,1179.99,0,374.9,1014,1179.5
320,4237469,319.06,800,1179.99,0,374.9,1014,1179.5
321,4250180,320.04,800,1179.99,0,374.9,1014,1179.5
322,4289027,322.99,800,1179.99,0,374.9,1014,1179.5
323,4289250,323.01,800,1179.99,0,374.9,1014,1179.5
324,4289413,323.03,800,1179.99,0,374.9,1014,1179.5
325,4302905,324.06,800,1179.99,0,374.9,1014,1179.5
326,4315596,325.03,800,1179.99,0,374.9,1014,1179.5
327,4328296,326,800,1179.99,0,375.5,1014,1179.5
328,4341968,327.05,800,1179.99,0,375.5,1014,1179.5
329,4354663,328.01,800,1179.99,0,375.5,1014,1179.5
330,4368332,329.06,800,1179.99,0,375.5,1014,1179.5
331,4381032,330.03,800,1179.99,0,375.5,1014,1179.5
332,4393725,331,800,1179.99,0,375.5,1014,1179.5
333,4407427,332.05,800,1179.99,0,375.5,1014,1179.5
334,4420092,333.03,800,1179.99,0,375.5,1014,1179.5
335,4433772,334.07,800,1179.99,0,374.5,1014,1179.5
336,4446462,335.04,800,1179.99,0,374.5,1014,1179.5
337,4459156,336,800,1179.99,0,374.5,1014,1179.5
338,4473805,337.13,800,1179.99,0,374.5,1014,1179.5
339,4485529,338.04,800,1179.99,0,374.5,1014,1179.5
340,4498220,339,800,1179.99,0,374.5,1014,1179.5
341,4511893,340.06,800,1179.99,0,374.5,1014,1179.5
342,4524621,341.03,800,1179.99,0,374.7,1014,1179.5
343,4538260,342.07,800,1179.99,0,374.7,1014,1179.5
344,4550961,343.04,800,1179.99,0,374.7,1014,1179.5
345,4587363,345.82,800,1179.99,0,374.7,1014,1179.5
346,4587576,345.84,800,1179.99,0,374.7,1014,1179.5
347,4589768,346,800,1179.99,0,374.7,1014,1179.5
348,4603698,347.08,800,1179.99,0,374.7,1014,1179.5
