"NCED Data Capture - Text Output File (Comma delineated)"
"None Data [Channel 3]"
"Aux Sensor Latency",0
Text File Version,2.6,

"Flume/Project Name","Riverine Basin"
"RunName","D:\Wood Floodplain 2024\20240808_exp1_cartdata\20240808_exp1_wood\20240808_exp1_wood"
"Pass Finished Date/Time"," 08-08-2024"," 11:26:53"
"RunTime Finished"," 0:00:00"
"RunSeconds Finished",0
"ContinuousSec Finished",9421.486
"Script Name","C:\NCED\SequenceScripts\Riverine Basin\MASSA_Scan0001 (-500, 0, ) to (9940, 0, 900) FollowChannel.scp"
"Script Scan Type","Massa"
"Scan Number",2
"Z Count Direction","Positive Up"
"Home Encoder Offsets",57,486,1578
"Encoder CntPerMM",96,32,393.7
"Channel Settings","X Offset","Y Offset","Z Offset","K2 Coef","K1 Coef","K0 Coef"
"  Ch0 NotUsed",-979.6,-2465,-1149,"N/A for Sonar"
"  Ch1 Massa",-1079.6,-2465,-491.799987792969,0,912,109
"  Ch2 NotUsed",-1102.1,-2510,0,0,50,500
"  Ch3 NotUsed",-1329.6,-2605,-384,0,1,0
"Flume X Rail Slope(%)",0,,,,"Note: X and Zs are reported relative rails.  If rail slope is not zero, X and Z may need to be post-processed to put in desired coordinate frame."
"Keyence Angle/PivotOffset",0,0,,,Keyence not tiltable
"DAQ Speeds XYZ (mm/sec)",200,200,100
"Accel Rates XYZ (mm/sec/sec)",250,250,100

"Column Headers",2,"Number of header rows before data begins"
"Pass","Ping","X","Y","AUX_Z","AUX Value","ClockTime","RunTime H:M:S","RunTime Sec","ContinuousTime Sec"

8,12,2678.015,-745,857.792,857.308
8,13,2678.015,-745,857.792,857.311
8,14,2678.015,-745,857.792,857.312
8,15,2678.015,-745,857.79,857.308
8,16,2678.015,-745,857.792,857.312
8,17,2678.015,-745,857.792,857.31
8,18,2678.015,-745,857.792,857.311
8,19,2678.015,-745,857.792,857.311
8,20,2678.015,-745,857.792,857.31,"11:27:42","0:00:00",0,9471.10937
9,1,3166.015,-368,857.792,857.307,"11:27:48","0:00:00",0,9477.403606
9,2,3166.015,-368,857.792,857.306
9,3,3166.015,-368,857.79,857.302
9,4,3166.015,-368,857.792,857.307
9,5,3166.015,-368,857.79,857.303
9,6,3166.015,-368,857.792,857.308
9,7,3166.015,-368,857.792,857.306
9,8,3166.015,-368,857.792,857.309
9,9,3166.015,-368,857.79,857.304
9,10,3166.015,-368,857.79,857.304
9,11,3166.015,-368,857.792,857.308
9,12,3166.015,-368,857.79,857.305
9,13,3166.015,-368,857.79,857.305
9,14,3166.015,-368,857.79,857.303
9,15,3166.015,-368,857.79,857.302
9,16,3166.015,-368,857.79,857.305
9,17,3166.015,-368,857.792,857.307
9,18,3166.015,-368,857.792,857.308
9,19,3166.015,-368,857.792,857.306
9,20,3166.015,-368,857.792,857.31,"11:27:49","0:00:00",0,9478.35869
10,1,3654.025,95,857.792,857.309,"11:27:56","0:00:00",0,9484.731007
10,2,3654.025,95,857.792,857.31
10,3,3654.025,95,857.792,857.308
10,4,3654.025,95,857.792,857.308
10,5,3654.025,95,857.792,857.31
10,6,3654.025,95,857.792,857.307
10,7,3654.025,95,857.792,857.307
10,8,3654.025,95,857.792,857.306
10,9,3654.025,95,857.792,857.308
10,10,3654.025,95,857.792,857.309
10,11,3654.025,95,857.792,857.307
10,12,3654.025,95,857.792,857.31
10,13,3654.025,95,857.792,857.311
10,14,3654.025,95,857.792,857.307
10,15,3654.025,95,857.792,857.309
10,16,3654.025,95,857.792,857.31
10,17,3654.025,95,857.792,857.31
10,18,3654.025,95,857.792,857.308
10,19,3654.025,95,857.792,857.309
10,20,3654.025,95,857.792,857.309,"11:27:57","0:00:00",0,9485.681224
11,1,4142.025,468.969,857.792,857.312,"11:28:03","0:00:00",0,9491.795797
11,2,4142.025,468.969,857.792,857.314
11,3,4142.025,468.969,857.792,857.309
11,4,4142.025,468.969,857.792,857.31
11,5,4142.025,468.969,857.792,857.308
11,6,4142.025,468.969,857.792,857.307
11,7,4142.025,468.969,857.792,857.31
11,8,4142.025,468.969,857.792,857.311
11,9,4142.025,468.969,857.792,857.307
11,10,4142.025,468.969,857.792,857.313
11,11,4142.025,468.969,857.792,857.311
11,12,4142.025,468.969,857.792,857.309
11,13,4142.025,468.969,857.792,857.309
11,14,4142.025,468.969,857.792,857.311
11,15,4142.025,468.969,857.792,857.308
11,16,4142.025,468.969,857.792,857.309
11,17,4142.025,468.969,857.792,857.31
11,18,4142.025,468.969,857.792,857.311
11,19,4142.025,468.969,857.792,857.307
11,20,4142.025,468.969,857.792,857.312,"11:28:04","0:00:00",0,9492.74694
12,1,4630.025,610,857.792,857.313,"11:28:10","0:00:00",0,9498.822375
12,2,4630.025,610,857.792,857.312
12,3,4630.025,610,857.79,857.309
12,4,4630.025,610,857.792,857.313
12,5,4630.025,610,857.792,857.311
12,6,4630.025,610,857.792,857.311
12,7,4630.025,610,857.792,857.31
12,8,4630.025,610,857.792,857.31
12,9,4630.025,610,857.792,857.306
12,10,4630.025,610,857.792,857.308
12,11,4630.025,610,857.792,857.309
12,12,4630.025,610,857.792,857.309
12,13,4630.025,610,857.79,857.306
12,14,4630.025,610,857.792,857.307
12,15,4630.025,610,857.792,857.309
12,16,4630.025,610,857.79,857.306
12,17,4630.025,610,857.79,857.307
12,18,4630.025,610,857.79,857.307
12,19,4630.025,610,857.792,857.309
12,20,4630.025,610,857.792,857.309,"11:28:11","0:00:00",0,9499.786284
13,1,5118.025,463.969,857.792,857.309,"11:28:17","0:00:00",0,9506.062933
13,2,5118.025,463.969,857.792,857.307
13,3,5118.025,463.969,857.79,857.305
13,4,5118.025,463.969,857.792,857.307
13,5,5118.025,463.969,857.792,857.308
13,6,5118.025,463.969,857.792,857.308
13,7,5118.025,463.969,857.792,857.308
13,8,5118.025,463.969,857.792,857.304
13,9,5118.025,463.969,857.792,857.306
13,10,5118.025,463.969,857.792,857.307
13,11,5118.025,463.969,857.792,857.305
13,12,5118.025,463.969,857.792,857.305
13,13,5118.025,463.969,857.792,857.304
13,14,5118.025,463.969,857.792,857.304
13,15,5118.025,463.969,857.792,857.305
13,16,5118.025,463.969,857.792,857.307
13,17,5118.025,463.969,857.792,857.307
13,18,5118.025,463.969,857.792,857.308
13,19,5118.025,463.969,857.792,857.307
13,20,5118.025,463.969,857.792,857.306,"11:28:18","0:00:00",0,9507.01311
14,1,5606.015,85.969,857.792,857.309,"11:28:24","0:00:00",0,9513.253597
14,2,5606.015,85.969,857.792,857.31
14,3,5606.015,85.969,857.792,857.312
14,4,5606.015,85.969,857.792,857.31
14,5,5606.015,85.969,857.792,857.31
14,6,5606.015,85.969,857.792,857.309
